s.no;age;department_name;class_name;clothing_id;alike_feedback_count;rating;recommend_index ;review_text
20160;56;Bottoms;Jeans;1025;0;5;1;Every so often the perfect pair of bottoms comes along. this style was it for me. i'm tall 5'9 so the length fits perfect for a crop wide leg trouser. i will be able to wear these in the summer as they are light weight enough and also into fall before it gets too cold. can't wait to wear them. extra bonus i got them on sale. if you are short these will probably be more like a long leg trouser on you. also fit true to size.
20231;51;Bottoms;Jeans;1025;0;4;1;The color and quality of these jeans is great. they were too large in my normal size. more of a boyfriend fit so size down.
20313;32;Bottoms;Jeans;1025;0;5;1;"I love these jeans. they're incredibly soft, super comfortable and hold their shape. i can wear them for hours on end and i don't get that droopy, snagging look jeans can get when they stretch out. 
 

fit: i am normally a 29/30 depending on the jean. i took these in the 30 - i usually have a difficult time finding skinny jeans that fit my legs and don't fall off my waist. these have enough give to accommodate my larger legs, but the material holds well, so i don't need a belt to keep them up"
20441;55;Bottoms;Jeans;1025;0;5;1;"I just received these jeans today after buying them online last week. i wasn't sure how they would fit, but i am so very happy i got them. and on sale too!! i am 5'2"" and about 128 pounds. athletic and curvy but petite too. i bought the size 4 and they are a perfect fit in the length too. they are button up, boyfriend style but not too baggy. the detail on the cuff is perfect and they have a unique, unusual but expensive look. what a steal !! i would have paid full price for jeans that fit this"
20507;24;Bottoms;Jeans;1025;0;5;1;
20537;33;Bottoms;Jeans;1025;2;1;0;Agree with above review. these are described totally wrong. they are not 8.5 rise. they are very high rise, so much that i didnt even try them on...the color isnt good either, it looks like a cheap levi's color or just not a quality denim. if you like high rise, you might like them. i can't comment on fit..
21989;26;Bottoms;Jeans;1025;0;5;1;Paige jeans are obviously known for their luxurious feel and amazing fit. these jeans are the best new addition to your collection. the perfect high rise and not as extreme flair, these might beat out your skinny jeans for your nights out. they do come extremely long, so they will most likely need to be hemmed. i get huge compliements when i wear them and told how they compliement my legs in the best way. if you're debating on whether to jump onto the flair trend, i'd go with these!
22255;58;Bottoms;Jeans;1025;8;5;1;Second to shopping for a swimsuit, i hate shopping for jeans. so difficult to find a pair that are both comfortable and stylish. the good news is that this pair is both. the length hits slightly below my ankle which is the perfect length for me (i'm 5'5). they are a slim fit with a slight bit of stretch. i ordered the size 27 which is my normal size and they fit perfectly. love the wash for a casual look. wish they also came in a darker wash for a dressier look. all in all, i am quite pleased. w
22655;67;Bottoms;Jeans;1025;4;5;1;"Purchased the petite size of these jeans and the length is perfect for my 5'3"" height. the description doesn't mention what length the petite size is but i believe it to be 31 inches. the jean is cut small in the hips and snug in the thighs so consider going up a size if you are curvy. great color and style. i may be 60 something but these jeans bring me back to my youth. love them."
22781;35;Bottoms;Jeans;1025;0;5;1;These are the second pair of paige jeans i have purchased, and i have not been disappointed! jeans are great for casual dress or a night out on the town. fit stays true even after first wash. wish i had a pair of these in every color.
22820;29;Bottoms;Jeans;1025;1;5;1;"These jeans are exactly what i was looking for. love the rich olive color. these are definitely an olive green and not a brown color, which i was very happy about. fit is great, i am 5'7"" 150 athletic hippy build and a size 29 fits great. they are the perfect ankle length jean. very soft, and just the right amount of stretch."
22896;30;Bottoms;Jeans;1025;0;5;1;These are my favorite flare jeans! they have that lovely 70's style and go with everything and look great all year round. the fit is perfect. my all time favorite jeans.
23059;57;Bottoms;Jeans;1025;1;4;1;These jeans are buttery soft and very flattering. unlike many jeans these do not ride down my waist as i wear them. i am a bit concerned about them long term as they list rayon as the primary fabric, which means they have to be washed very carefully. still, i highly recommend.
23185;39;Bottoms;Jeans;1025;2;4;1;I needed a white denim pant and this one fits fine. it isn't as slimming as i had hoped for because it isn't a stretchier denim. but, my husband says he likes how they look and they do fit. pants are not easy for me. i have a generous booty and thighs and a small waist. quality is good.
541;36;Bottoms;Jeans;1026;0;5;1;I really wanted the dark grey, but it has been sold out in my size for many months. i finally ended up with the navy. i think they are much cuter in person, the color nicer also. i think the cuffs have been folded under in some of the pictures of the models making the shape look just a tad odd. i got my usual size, and the fit was perfect. they stretch just enough. i would get the second pair in a heartbeat.
1286;66;Bottoms;Jeans;1026;1;5;1;I rarely write reviews but had to comment on these pants. these pilcro pants are my favorite for the fall and winter. they fit beautifully and are a great alternative to jeans. the pants are so comfortable and flattering. love the print and they are so versatile as they can be worn as very casual pants and can be dressed up. i am in my 60's and am always looking for clothes that are stylish without being too young looking for a woman my age. retailer is my favorite store!
3719;33;Bottoms;Jeans;1026;0;5;1;This is my first ever review! these pants are 5-star fantastic. ordering additional colors because i love these so much and am finding i want to wear them every day. i initially ordered the bronze color which is superb, just beautiful. i was worried it might be too bright to wear to work, or be a different hue in real life, but they look just like the picture. to my happy surprise they dress up easily. it's a really rich color that i have been able to pull off at work with long sweaters and boot
7077;55;Bottoms;Jeans;1026;0;5;1;These are the most comfortable pants i own. i bought them in the gold, green, and gray (which really does look more like a grayish purple). the gold is my favorite - it goes with so many things! i was just checking to see if there were any other colors - would love them in black and a burgundy. i'm about 125 lbs,, 5 foot 7, and the 28 is a perfect fit. the saleswoman warned that they would stretch out, but i haven't found that to be a real problem.
8151;48;Bottoms;Jeans;1026;1;5;1;I love these pants. i have worn them a number of times already this season. i am 5' so i did have to have them hemmed. i lost the bottom button in the process but there are still 3 or 4 on the pants so i don't think they look odd. i also wear very high boots with these pants so that helps. a crisp white blouse and black leather jacket and i felt like a million bucks!
9249;34;Bottoms;Jeans;1026;2;4;1;"I've been wanting to add some cords to my wardrobe and had to give these a try. i ordered the blue color on-line in size 31. i'm somewhat in-between size 30 and 31 in jeans right now, so i thought i'd be on the safe side and go up. i ended up keeping these and i'm happy with my purchase, although i do feel like the cut of the leggings is a bit off for me. i am a proportional hour-glass shape and i found these leggings to be quite snug in the thigh, while being oversized in the waist.
in the end,"
9692;60;Bottoms;Jeans;1026;0;5;1;So sure from the online shop & images that i ordered two pairs. the package arrived in less than 2 days and immediately i could see how the cords were everything i expected them to be. so incredibly soft and body forming and has a classic cord texture only softer. i love them ! this look works both daytime as well as evening - it's geared to work with any casual to couture look. my 22 year old niece wanted to buy the second pair (sz 28) from me so i gave them to her. she's a nice niece : )
10450;59;Bottoms;Jeans;1026;5;5;1;"Omg! so comfortable and feels like wearing nothing at all! i wish the blue print was still available in my size. tried them on at the store and fell in love! they say the length is 31.5, however i am on the tall side, usually wear 34"" in jeans, but these are perfect. i see from other reviews that these pants have been around for a while. please don't change them, and i will be getting another pair or two next year!!!"
14614;54;Bottoms;Jeans;1026;3;5;1;Perfect! awesome! i have a few of these now and love them. they do stretch a little so i wouldn't size up. i'm about 138 pounds and 5'8'' and normally m. i wear the 27 in these.
14825;39;Bottoms;Jeans;1026;0;4;1;Petite pants hsould be able to fit short peple, but a 32 inch inseam on pants with buttons at the nottom, can't even gegt them hemmed, what a bummer. my inseam is 27 inchess, so i would need a 5 inch heel. otherwise, gorgeous, and waiat fits true to size. thighs a bit snug for musclea, but stretchy enough to fit. thinking about keeping them, but have to find big plaform heeks...
15694;26;Bottoms;Jeans;1026;0;5;1;These cords are seriously fantastic. worth the price indeed. they are very comfy, have a lot of stretch but do not loose shape! the fun yet muted color design allows an average outfit to have a fun pop. they do run big, i got a 26 and i'm usually a 27. they are also very long! nothing a little trip to tailors can't fix. overall, highly recommended.
17075;37;Bottoms;Jeans;1026;2;5;1;I am a big pilcro fan. i have a really tough time finding pants that fit, are comfortable, and flattering all at once, and these didn't disappoint. the colors are beautiful and saturated, and just like they appear in the photos. i got my usual pilcro size, and the colors give me endless styling ideas. i also got them in the black and ivory print.
17386;43;Bottoms;Jeans;1026;1;5;1;These leggings are soft, comfortable and go with everything. love the way they feel.
17779;34;Bottoms;Jeans;1026;0;5;1;These cords are soft, comfy and my normal size 32 for tts. the length was fine for my 5'9 height. i really like the bronze color, it is almost a yellow.
18165;42;Bottoms;Jeans;1026;0;5;1;Love these pants. corduroy leggings that fit like a skinny pant. comfortable. not too stretchy. maintains shape, even with multiple wears between cleaning. pairs nicely with black, neutral, or buttery yellow tops. fun print. received compliments first time i wore them. sizing is just right also. i'm 5'3. usually wear 26 in denim but have to go up a size for super skinny so i ordered a 27p which fits me just fine.
18491;47;Bottoms;Jeans;1026;0;5;1;
18927;35;Bottoms;Jeans;1026;0;4;1;If you happen to get a size that fits you, you will love these leggings. they are true to size when the quality control works. i got 2 pair, both in size 28 - one fits perfectly and the other fits like my mothers high waisted jeans! the material is very soft and comfortable. also, not sure who named these colors, but the grey is really light purple and the dark grey is dark purple.
19046;56;Bottoms;Jeans;1026;0;5;1;Dare i say, this is my favorite pair of pilcro legging cords yet. the pattern is beautiful, with green, black, and grey. the fit is as usual stellar and comfortable. the best yet!
19396;49;Bottoms;Jeans;1026;1;5;1;"Lots of stretch in fabric so pants fit well. length is perfect for me. i'm almost 5ft 6 in and they hit at bottom of ankles with slightly extra fabric so flats, heels, or boots work great with these pants. i bought size 29 and i'm 135 lbs.
colors in pants are beautiful. many different colored tops go well with them"
20825;35;Bottoms;Jeans;1026;0;4;1;These are really great legging style cords. you can wear them without worrying about covering your bum in my opinion! they are not too bulky at all which you might expect in a corduroy pant. they are a tad loose in the waist area unfortunately but fit me well in the thighs, so i don't think sizing down would work for me. i bought the bronze, and it's a very versatile color! darker than the picture, but still a good color. i feel it will be perfect for fall and spring especially. i'll wear it all
22165;37;Bottoms;Jeans;1026;6;5;1;For years i've eyed these printed pilcro cord leggings. every single year in every single incredibly cool print - i've always wanted them. finally i decided to try them on after we got this green and navy print, and i'm so glad i did. these are dreamy! they are so stretchy and so comfortable! they hold snug against your leg for a very streamlined fit, but plenty of stretch so movement is no issue. the print is my favorite part. the colors are extremely fun, but still classy enough to not feel to
774;39;Bottoms;Jeans;1027;0;5;1;This is the 4th pair of current/elliot jeans i've bought.  i'm 5'4 so the length is perfect for flats.  they are so soft and cozy. wish they had a design on the pockets but love them none the less!
3248;45;Bottoms;Jeans;1027;0;3;1;I agree with the other reviews that these jeans run big. for my body, straight up and down, i ordered 2 sizes down, but would have ordered one size down had i been able to try them on in the store. the jeans i received were lighter, not blue, and more grey with very noticeable white whiskering. i need a new pair of jearns and i love the cut of these so i am keeping this pair, but, for me, because of the color they are just ok compared to the wow i was expecting from the picture.
3928;28;Bottoms;Jeans;1027;0;3;1;"The fit is definitely more ""straight-leg,"" and not skinny, as the photos seem to imply. at 4'11"" and 95 lbs, the size 25 fit my waist and butt wonderfully, and the length was great, but the jean lost shape at the knee. i would recommend these jeans if you are not seeking a skinny fit!"
5849;19;Bottoms;Jeans;1027;0;5;1;I disagree with the reviewer that says these are more straight-legged. for me they fit tight throughout. sits perfectly on the waist with just enough stretch, but they still look very structured. i'm 5'0, 110 lbs and the 26 fit me perfectly. the length was perfect for my height. often pants are too loose in the ankle for me, but these are snug and perfect to wear with booties.
7555;44;Bottoms;Jeans;1027;0;5;1;These are such fun pants. it's a heavier denim without being so stiff. they run tts. i got my usual size 26 & they fit comfortably. i haven't washed them yet but once i do i typically wash in cold gentle cycle & hang dry.
8636;62;Bottoms;Jeans;1027;3;5;1;These coveralls are not cut long enough, i am long in the body and it is very hard for me to find coveralls overalls that are long enough and these unfortunately are the same. i have large breast so that adds to the problem so when i stand sideways and look at the waistband the front you can see is pulled up where the back is hanging lower. they really are nice, my first thought when i put them kn was wow i look a tad like michael myers in them but they're really very cool.....wish i could keep
9947;35;Bottoms;Jeans;1027;0;3;0;I have been searching high and low for some good quality jeans. sadly i don't think these are it. i love the design and style of these jeans. great length, great cut, great color unfortunately in the 3 weeks that i have had them they are balling and looking like i've had them for 3 years. i'm so disappointed. and will have to continue on my search. apparently they don't make jeans like they used too?
11347;39;Bottoms;Jeans;1027;0;5;1;I got these on sale a few months ago. they are the most comfortable jeans i've ever owned. i'm 5'4 and they are the perfect length for me but i like my jeans a little long.
11588;22;Bottoms;Jeans;1027;1;5;1;These are the most flattering pair of white jeans i have ever found!! people stop me when i wear them and ask me where i purchased them and the name of the brand! flattering, comfortable and perfect for a casual weekend or going out! highly recommend!
11969;54;Bottoms;Jeans;1027;0;5;1;"Love these pants. love the fit. i can't wait to wear them, but i have to find the time to hem them first. i am kinda tall at 5'9"" and i wear a lot of heels, even tall heels. but these pants are even too long for my 3-4"" heels, and i don't wear taller than that to work every day. only on very rare occasions. so they do need to be hemmed. they are a great cream white color so can carry on through the winter and will also get a lot of use in the spring and summer. good fabric and a nice fit!"
13681;33;Bottoms;Jeans;1027;4;4;1;"The quality of the fabric these are made from is wonderful- they are soft yet structured and i was so bummed they didn't fit me. i usually wear a size 28 in premium denim so i ordered a 28 and i could barely pull these up over my hips. once i pulled them on i was about 1-2 inches from being able to zip them closed. the pants fit in the legs but they were very close-fitting, which is not the look i'm going for. i am 5'5"" and was worried they would look too long since usually pants are for me, but"
15372;25;Bottoms;Jeans;1027;0;5;1;Super comfortable and flattering casual jeans. i'm 120 lbs 5'7 normally size 26 and the 26 fit perfect.
15708;39;Bottoms;Jeans;1027;0;4;1;I tried on areturn at my store, size 26 (i am often a 25 in jeans) - because these are tighter fit, teh 26 was fine. length was long though, but fit comfortably and looked nice. the cutout was at my knee, which bothered me a tad (model, seems a bit above the knee). i decided not to purchase them as i found another pair i liekd better, but if you are taller and are looking for a distressed skinny, these are great. (i am 115 lbs and have thighs ad butt form working out)
16162;42;Bottoms;Jeans;1027;3;5;1;"Nice fit and color and i love the tall cuff but you will need to size up at least two sizes.  as the previous reviewer stated these jeans do run extremely small.  i usually wear a 27 ag in jeans, sometimes a 28 for the ag legging jeans but the 28 in these were still very tight all over, and uncomfortable.  i don't like my jeans skin tight so i had to go up to a size 29 but they fit and look great.  sizing definitely off on these.  i am 5'3"" 115# for reference."
16224;57;Bottoms;Jeans;1027;0;5;1;Loving this jumpsuit! i normally a medium top small bottom i bought the medium it fits right. soft fabric and nice color.
17239;30;Bottoms;Jeans;1027;0;5;1;These are the perfect high-waisted skinny jeans. they fit tts and don't stretch out. are the perfect length for cute falls or tucked into boots. i adore them!
18528;44;Bottoms;Jeans;1027;2;5;1;These are such under-rated pants! i love the fit, style, fabric & everything about them. they are the perfect weight & can be worn with boots, sandals, flats, etc. they run tts - i got my usual 26. get yourself a pair while they last. you won't regret it.
18634;59;Bottoms;Jeans;1027;2;5;1;Nice color and cut but runs very big so size down. will need to send back due to on line only. i am hoping one size smaller does the trick.
20538;47;Bottoms;Jeans;1027;1;5;1;J brand is by far the best premium denim line retailer sells! the fit on these jeans is amazing..worth every penny..also, considering it is a crop jean - warm weather wear - the denim weight is light and not too thick...the color is different from ordinary regular denim blue..lighter wash for spring/summer!
