s.no;age;department_name;class_name;clothing_id;alike_feedback_count;rating;recommend_index ;review_text
8294;48;Dresses;Dresses;1078;0;3;1;I must be one of the rare people that this dress did not work for.  i adored it online and even on the hanger.  putting it on, it just looked frumpy on me (i tried my usual small first).  decided i must need a smaller size, so i sized down to an xs.  this one looked much better on, but was nearly impossible to get in and out of, the built in slip got twisted and i had to start over twice).  i decided i wasn't willing to work up a sweat getting dressed and undressed when i wore it.  i passed.
8295;52;Dresses;Dresses;1078;0;4;1;I got this dress and think it's just great. it's a bit formal, but a bit whimsical at the same time. i really disagree with others said about the opening along the arms. i think they are barely noticeable but are nice surprise. this is a perfect california winter dress. i could see how a woman in colder parts of the country might not appreciate the slits on the arms but i think it's nice to show a little skin in a conservative way. i plan to wear it to a classical music concert soon. and i got i
8308;53;Dresses;Dresses;1078;0;4;1;I loved this dress and i really loved it more after i bought it on sale. i am 5'3 100lbs and the only thing that bothers me is that the arm of it are somewhat tight when i reach out to get something. other wise the dress is great and get a lot of compliments on it. i paired it with black nylons and black plain leather booties and it looked great!
8310;49;Dresses;Dresses;1078;0;5;1;There's just the right amount of billowy grace in this dress. the fit is perfect and the material moves and breathes with you. cute with a jean jacket on chillier days too.
8360;62;Dresses;Dresses;1078;0;5;1;This dress is loose, unique, and super cute! you'll get noticed in this dress! i ordered down a size.
8386;46;Dresses;Dresses;1078;2;3;0;Bought this on a whim. i had been wanting a new maxi dress and the bodice looked really cool online. ordered it in black. it fits true to size however the material is a bit on the thin side and where the fabric crosses over on the lower waist line...it leaves a love handle lump. without the bulk it would be great as overall look is kind of cool. however, i am on the fence on this one. for the money there are better maxis out there.
8432;45;Dresses;Dresses;1078;8;3;1;This dress was as pretty in real life as the picture. flattering also. unfortunately it is definitely not appropriate for office work. even though it appears so in the picture, the back is very low cut and there is no way not for bra to show (unless you don't need one) also it was much tighter on top than the model picture, even though the rest fit perfectly.
8455;36;Dresses;Dresses;1078;0;3;1;"This dress is very cute! i loved it. the quality is excellent. however, the fit is off. i'm 5""1, 107lbs, 32c. this dress was roomy in the bust and was a little too broad shouldered. it was tight around the waist. this caused creasing and buldging in the back. the color is much more vibrant in person. i would have kept it, if it fit properly."
8465;50;Dresses;Dresses;1078;0;3;0;This dress ran small in the arms for me. when i returned it for a bigger size, the dress i got had a huge rip in the decorative threading on the back. i can't believe the product wasn't checked for flaws this huge before shipping. i asked for another one in the same size. we'll see if it, too, is defective
8484;37;Dresses;Dresses;1078;0;5;1;I love this dress, it's very comfortable, slim swing and very ingratiating. the fabric is light, i like the details of the buttons on the sleeves. overall, i'm pleased and happy for the purchase of this dress. i will definitely recommend it.
8514;37;Dresses;Dresses;1078;6;4;1;I also agree with the other reviewers that it's important to try on a couple due to pattern differences. this dress has a beige base- the photo is a little misleading. i ended up returning it because the colors didn't do much for me, i think they look great on the model but that's because the beige doesn't blend into her at all. i also think it's a little overpriced for what the dress is- a great summer day dress.
8531;28;Dresses;Dresses;1078;2;2;0;"This dress looks great online with boots as shown. when it arrived and i tried it on, it fit great on my arms, wasn't too tight on my neck, but once it went down over my chest (36c), the dress never came back ""in"" to show my feminine waist/shape. it just looked like a big trash bag on me, very disappointing! similar to a mumu."
