s.no;age;department_name;class_name;clothing_id;alike_feedback_count;rating;recommend_index ;review_text
3360;54;Intimate;Intimates;1161;0;5;1;I didn't have high hopes for these, because things seem to 'ride' on me- but these stay put! and i love the adjustable sides... these are a pretty color, i ordered the raspberry and the silver grey and love both! i normally would not pay a ton for undies, but these are worth every dollar! i have a larger bottom, so purchased the large, but sometimes i can wear medium, so this is great, being adjustable.
16148;68;Intimate;Intimates;1173;0;4;1;"I am usually a 32a. i ended up with a 34 b based on sales assoc input and what was available. the 32 gave me back fat ( i do not have back fat) so she said the 34 would be better, it ran small etc. the 34 also fit ( had to be ordered and mailed) but it still gave me ""flab"" over the back band. comparing it to my other regular bras, i can see that the band has too thin fabric and rolls and has ""harder edges"" compared to wider , thicker band on my other bras. very pretty but i will be returning. sa"
19269;34;Intimate;Intimates;1173;0;3;1;Got this in the mail today and while the design is cute, it's not as soft and comfortable as i would like. the front clasp takes a bit of practice to get on and off. the straps are a bit thin and hurts a bit.
9544;34;Intimate;Intimates;1178;1;4;1;"This tank is fairly soft and fits true to size. i like that i can pick between a v or round neck, depending on my outfit. it truly offers a profile to layer with anything. the only complaint i have is that the edging wears faster than the rest of the tank. i've trimmed some pilling off of it to keep it looking neat. otherwise, this is one of my favorite tanks, and i have purchase two more so i can always find one when i want it. 

this tank has some stretch, so i imagine it fits a range of siz"
3113;51;Jackets;Jackets;955;0;4;1;High quality, and worth full price.... but way too small. also a bit short in the torso.
668;83;Jackets;Jackets;956;0;5;1;Got this poncho for christmas and loved it the moment i got it out of the box!! great quality and looks great cant go wrong with this purchase.
7069;31;Jackets;Jackets;956;0;5;1;I love this blazer. its perfect for work, and makes a great statement.
14121;42;Jackets;Jackets;956;0;5;1;Agree with other reviewers the jacket is better in person than on model very nice jacket model does it no justice
18696;43;Jackets;Jackets;956;1;1;1;This is so close to perfect, but there's a seam down the middle of the back and they didn't bother to match the polka dots. you can see the mismatch in the second photo. i was about to buy the jacket, and totally in love, when i turned and saw the error. i hoped it was one bad match, but nope, on every one. couldn't unsee, didn't buy. very disappointed.
20194;35;Jackets;Jackets;956;3;5;1;"I love this poncho! it is flattering (who would have thought i would use that word in the same sentence as a poncho?) and offers enough room for warm clothes underneath.

it is stiffer and thicker than i had originally anticipated, and the material is somewhat itchy so i would recommend long sleeves and clothes with more covering underneath."
23108;39;Jackets;Jackets;956;5;4;1;"If you're very small-framed and/or petite, i would size down in this. unless you want a really slouchy look and fit. 
----------
i have very broad shoulders and very large biceps, and typically wear a m/l in retailer tops. sometimes if a top is a pullover style (as opposed to button-down) i have to size up to a 12 to get the top to accommodate my shoulder width and biceps. so i was leery the size 8/italian 44 would fit, but it does, with room to spare, albeit it is not as loose or long in the ar"
23292;37;Jackets;Jackets;956;1;5;1;I fell in love with this poncho at first sight. the colors are neutral so it can be worn with a lot. i'm a typical m and it does run large so i went with a s and it's perfect. long enough to cover leggings and great for the in between seasons. i've worn it at least five times since purchase and get compliments every time.
10121;48;Jackets;Jackets;957;1;5;1;This is so much nicer in person! wore this out today...now that it isn't too too cold. fashionable and warm. love the clasp. quite genius! i am a 36c and while i'd normally take a small, got this in medium and it fits perfectly. i'd say this piece runs slightly small for retailer.
22629;24;Jackets;Jackets;958;0;5;1;"I love this jacket. i'm 6' tall, 160lbs, 30"" waist and a 34d. i normally go for an 8/medium and i bought a medium. i love it! slightly cropped, barely snug fit but i can still snap it closed. totally warm enough for california fall/winter. i like that the sleeves don't have sherpa in them... make it easier to layer! i bought the ""silver"" corduroy and it's less white than the photos, but it still fits the bill perfectly. love that it's machine washable, too. it also has pockets!"
669;36;Jackets;Jackets;959;0;2;0;I usually like coats and wraps with high-waisted belts, but this way too high, and the fit was really unflattering. i can see it being chic on a tall, slender person, but it's definitely not right for my short, curvy body. returning it today.
3826;45;Jackets;Jackets;959;0;4;1;"This jacket is a great fit and feels like a nice, comfortable addition to a professional/work wardrobe. it is very lightweight and fits somewhat loosely. i am 5""7 and 125 lbs and the small fits nicely. the only con is that there is not a way to secure down the top payer of the wrap )no snap, button, etc.)."
4068;44;Jackets;Jackets;959;2;3;1;The fit is quite strange on me as the tie is very high on the waist. this makes the jacket look odd and quite voluminous. i was very impressed with the fabric though but will have to return. i wish retailer would post what size is the model wearing. maybe she is wearing a larger size than usual which falls lower.
10537;38;Jackets;Jackets;959;2;4;1;"Since i could not find this jacket in the store, i ordered it online, and received it today. i would say it runs true to size to me. for reference, i am 5'2"", 120lbs, and size small fits fine. the material is a little bit on the thin side, it is not as thick as a typical denim jacket. i also found the color of the buttons to be different from the online images. the online images showed that the buttons are bronze/golden color, but the one i received comes with gunmetal colored buttons. i don't k"
10908;46;Jackets;Jackets;959;0;4;1;"Recently, i have been so wanting to get a lightwash denim jacket and i found the piece right here! i love that its cropped and so easy to wear. its not stiff at all and sized right. i got an xs my normal size and its so comfy and surprisingly soft. 
great find but just a bit pricey.. but probably bc its paige. too bad pilcrow couldn't have made something like this."
11355;32;Jackets;Jackets;959;0;5;1;Very cute and great fit. i removed the belt (it's removable) for a different look.
1130;29;Jackets;Jackets;960;1;4;1;"Just, you know, in front of my mirror and around the house. i bought this piece because i found it to be a bit funky - so you can wear it with jeans for a night out - yet with classic elements so it could be worn to work with a skirt. also, i live in florida, where it is hot hot hot, but i still like to layer my look. it has an excellent weight to it without being to heavy, so it flows well and can be worn even on the warm days instead of a suit jacket. 

i am usually between a small and mediu"
3601;51;Jackets;Jackets;960;1;5;1;I absolutely love this vest. it fits extremely well and falls nicely. i find the collar/lapel billows or flaps out and away from the interior of the vest and i wish they were sewn or secured down. when you tie the string around your waist, the lapel doesn't lay flat, but if you style it like the online model and tie the string off to tighten around your waist, you get a very flattering look. the color and fabric is great quality and really nice in person. i'm overall really happy with this vest.
3603;56;Jackets;Jackets;960;0;4;1;"I love the weight and drape of this vest; it adds a finished touch to even the simplest t shirts. i plan on wearing it into the cooler months of fall. however, it runs a week bit small across the bust. i normally wear a medium at retailer but large would have been a better fit. sadly the large vest in the dark blue was sold out."
5030;48;Jackets;Jackets;960;1;4;1;This is a wonderful layering piece for the office. the material is so soft, like a thick velvet, but not quite. it is cute with a sleeveless body skimming top underneath, b/c it fits loosely. not for 90 degree days, as it is a bit of a heavier summer material. the orange-peach-coral color is really unique!
5217;24;Jackets;Jackets;960;0;5;1;Beautiful color and soft texture. this piece is flattering and can be worn in many seasons.
5578;60;Jackets;Jackets;960;11;5;1;Love this blazer - it's a heavy jersey fabric, which is comfortable all day, with no wrinkling. and it has a cute light grey jersey knit trim around the pockets which adds visual interest and keeps it from being a boring navy blazer. the sizing is correct - i wear a 6, and the 6 fits perfectly. it's got a slightly athletic 'boyfriend' fit - it's not boxy, but don't look for a really skinny tight fit around the waste.
6982;67;Jackets;Jackets;960;2;5;1;"I first saw this online, and as a long-time wearer of vests, this really caught my eye. once it came into the store i was able to try it on, in grey small, and it was perfection. it just wasn't in the budget so i decided to wait for it to go on sale and watch the website every day. we have 5 stores in my area and when it got down to only 2 having limited availability for a small i sprang into action. the largest store had put it on the ""almost gone"" rack and they had only 2 smalls. i tried them"
7441;30;Jackets;Jackets;960;1;5;1;I got this vest on sale in the navy color and love it! the quality of the fabric is great and the draped design of it is so chic! really adds a stylish touch to almost any outfit.
8978;26;Jackets;Jackets;960;2;5;1;I got this vest for my birthday and it is my favorite. it has a very clean design, well structured and you can really tell the product is high quality from the look and touch. i would expect this to stay in my closet for years to come.
9184;34;Jackets;Jackets;960;1;5;1;This vest is much silkier than the pictures online show, which was a great surprise. the cut of this vest is beautiful and it can be worn so many ways!
10950;25;Jackets;Jackets;960;1;4;1;I bought this vest to add more versatility to my wardrobe. i love it! i got it in navy, and since it is one color, it goes with a lot of different things - tanks, long sleeves, short sleeves, pants/skirts, etc. i like the bow in the back and the vest makes a plain outfit look much more elegant and exciting! the vest itself is a little longer than i would have liked.
11634;56;Jackets;Jackets;960;0;4;1;Unfortunately had to return this. i loved it but just doesn't work for my petite size.
13419;37;Jackets;Jackets;960;0;5;1;Really great best.  nice substantial material and great fit.  will be able to wear with many things.
13429;40;Jackets;Jackets;960;5;5;1;I love the design of this cape. most capes are coats which can only be wore in the fall months here in the midwest since winter is too cold. this cape is more like a layering piece for indoors similar to a cardigan sweater, which i like. it can be wore in an office setting or out on the town with jeans. the constructions is well made as well
14106;30;Jackets;Jackets;960;1;5;1;"I saw this vest the week it came in the store. i was hesitant, thinking, ""what do i have to go with this?"" i left the store and had to go back and purchase it. i'm so happy i did! it really does go well simple tops (dressy or casual). it is also perfect for the ""winter white"" trend happening this year!"
14759;46;Jackets;Jackets;960;0;5;1;I like this layer for fall for many reasons. first of all, the color is a beautiful fall color. the design of the vest is flattering when wore with skinny jeans or leggings. the weight of the vest is perfect for the cooler weather. it is not too heavy, it's fairly lightweight. i am a size 6 and the small fit perfectly.
