s.no;Random;age;department_name;class_name;clothing_id;alike_feedback_count;rating;recommend_index ;review_text
5045;0,0134151378602066;52;Tops;Blouses;829;0;4;1;"It's navy and red--the photo looked black to me. so i couldn't use with black skirt that i had planned to pair it with, but it's cute with jeans and maybe white shorts next summer. the front gapes open when you sit down, so i'll either have to pin it or sew a snap there unless i want the world to see my bra. also a little short waited for me--i'm 5""11"", so i wish the wrap hit a little lower, but not enough that i didn't keep it. it is flattering blouse. the shoulder ties add a little extra flair"
7087;0,0134373629560894;40;Tops;Blouses;831;0;5;1;"Love this blouse, it;s super comfy, looks awesome with jeans. this blouse runs true to size i purchased in my normal size small."
13736;0,0134670053611904;36;Tops;Sweaters;937;2;5;1;I love the fit of this sweater. i recently had a baby and am a little self-conscious of my stomach area. the sweater, in my usual size s, hides my problem area without being big and boxy. the weave seems like it will be prone to snags, so i'll have to be careful.
10901;0,0134781826958423;36;Tops;Blouses;835;1;5;1;This is a gorgeous shirt. it actually looks more fitted on than in this picture, where it looks more shapeless. even though i love tunics, the online picture wasn't appealing to me -- but when i saw the shirt in store and tried it on i loved it. wore it to work today and loved it even more. it's great quality, gorgeous design, lovely tailoring and details throughout.
6349;0,013489991533118;33;Tops;Knits;871;1;4;1;The colors of this top are my favorite part, i want to hold onto summer for as long as possible and this time lets me do that!
7972;0,0135260789767246;24;Tops;Blouses;836;3;4;1;"I bought this top online in the burnt orange color and was so excited to get it. when i tried it on, the fit was fine but it just lacked...something. the back was a little bit too long, the front was a little bit too short and it lacked the overall tailored look that i was after. gorgeous fabric and top, but not for me. i wanted something more for $150! bought the velvet tunic instead ;)"
14957;0,0135613696261615;39;Tops;Blouses;824;1;5;1;"So i recommend wearing with something more fitted, or with a flare (jeans), or tucked in like the picture. i love the detail of hte polka dot on the sleeves and collar (inside), so if you leave the collar open or roll the sleeves up a bit, you see hte contrast.
it is a bit short, and i am petite, i ended up with regular size anyway otherwise, it may have been too short.

colors are nice, and i love the material, it is very soft and hoepfulyl warm (my orffice is freezing). should ahve grabbed it"
9336;0,013570110813583;30;Jackets;Jackets;984;1;5;1;Love this jacket! saw it in the store and waited a few days before breaking down and buying it in the peach color. glad i did as it sold out super fast. it's soft, flattering, versatile, and has great detail in the stitching. perfect layer for fall. i'm usually a large, sometimes medium in hei hei jackets and the large fit very comfortably with room for light layers underneath. the style is a little boxy and slouchy but the fit in the shoulders and elastic ribbed waistband give it a flattering f
20840;0,0136073869364204;66;Dresses;Dresses;1110;0;4;1;Bought this dress as good transition piece into our hot fall. don't usually go for the uneven hemline. but got so many compliments, i'm expanding my comfort zone.
8024;0,0136365397634097;48;Dresses;Dresses;1086;8;5;1;"I'm 5'10"", approximate size of model pictured, however this dress is at least 3 in shorter on me. the fabric is a bit thin and the v-neck is quite deep...
but i happily wore it on the beaches of puerto rico, added a jean jacket and epice scarf and wore it in paris. last week i wore it  belted ( as i saw a sales associate in antro do) with an open weave sweater and flip-flops on a warm boston day. don't count it out yet, it really is a chameleon piece that you can wear so many ways."
1430;0,0136807568553982;45;Tops;Blouses;822;0;4;1;This is a really pretty shirt - the colors are beautiful.  it runs large, and it's semi-sheer.  shape is loose and boxy, but because it's more sheer, it didn't seem as boxy.  i'm tall, and this was long enough.  only change would be to make the sleeves a little less bell like.  not tight, but lose some of the volume.
2451;0,0137365899120611;37;Tops;Knits;872;0;5;1;Love! this tank?everyone should own it in every color?it is soft, has a great shape, and is super cute. it goes great with so many of the pants/shorts from retailer as well. summer staple for sure.
12518;0,0137817234223573;54;Bottoms;Jeans;1022;6;4;1;"Fit review: i ordered the size 27 as i read alexa chung jeans run small, and my usual size in ag stevie is a 26 in cords, 27 in some jeans.
.
i'm 5'2"", currently 25"" waist, 33"" high hip, 37.25"" at the widest, 29"" inseam. i have more of a pear shape than an hourglass, flatter stomach, bigger upper thighs and bottom. i'm long-waisted and do have some high-rise trousers that look great, which is why i risked paying shipping on these.
.
the 27 was loose at my natural waist, the jeans measuring 29.5"""
15585;0,0137920785826876;31;Bottoms;Skirts;996;1;4;1;"For me a good pencil skirt makes me feel so ladylike. i love eva franco pencils but be warned they are designed to be a tight fit through the tush. i wear a 12 and i ordered the 12 in this skirt. the pouch another reviewer pointed out seems intended to be a pocket, but because the skirt fits me pretty snugly it doesn't stick out when i walk and sit. the fabric does seem like it would snag easily so i'll choose accessories thoughtfully. for reference i have a 33"" waist and 42"" hips."
7295;0,0139134088543292;64;Bottoms;Pants;1056;0;3;1;These pants come in great colors and fit nicely if you determine your correct size, which may not be what you usually wear. i have several pair, but i am concerned about investing anymore because of all the complaints on dye stability. retailer is going to have to address this if it is going to continue carrying this product. now, that said, i had a bad accident on one pair of these pants, and the outcome was successful. i wore them to a dinner party and spilled grease on them from one of t
6607;0,0139307855451594;42;Dresses;Dresses;1081;15;5;1;This dress is everything i hoped it would be: flattering, cute, cozy
579;0,013932422528288;41;Bottoms;Shorts;460;0;5;1;It's really not in my typical wheelhouse. i took a chance based on reviews. the shorts are long and roomy enough. and i love it with the long-sleeves. i somehow feel less exposed in it than i thought i would. i do agree with the comment that the material feels pretty flimsy for the price point. that's a bummer.
5027;0,0139448032117789;31;Tops;Knits;854;2;5;1;I'm so glad i saw this in the store, as the online photo does not do it justice. it's elegant, detailed, and a beautiful shade of pink. it has a little silver sparkle which makes it perfect for a casual party when you want to opt out of the traditional holiday colors.
13643;0,0139486173040528;28;Tops;Knits;858;0;3;0;I ordered this turtleneck in white and was very surprised to find that the material is so thin and gauzy it's sheer. i will definitely have to wear a white camisole under this every time i wear it, even when using it as a layering piece. it seems to run true to size if not a little small. the neck is interesting because it is so light and floppy...you can adjust several ways. it doesn't hold form well, though. i will most likely keep it but will never wear it without something both under and ove
5646;0,0139762931118998;44;Tops;Knits;854;4;3;0;"I bought the tiny brand ""cassia"" tank last week in a small, and it fits beautifully. i ordered this ""sorcha"" tank in a small as well and it is huge! i am very sad about the huge size difference. look closely at the photos... the fabric twists as it goes over the shoulders to the back....it is quite bulky. hard to tell if that would minimize in a smaller size. my store doesn't carry this item so i can't easily try another."
6382;0,0140071248399299;26;Tops;Knits;857;0;5;1;"I have four kids and a post baby bump that wants to live on forever, so i'm a huge fan of flowy tops--this one looked cute online, but i wasn't sold on it and passed. then i went to the store the next day and saw it, and the colors were more vibrant, so i thought, why not try it on, though i wasn't that excited about it. i tried it on and it was like the shirt was having her cinderalla moment--totally transformed how it looked on me and in person. i love it! it was one of those instant ""i'm buyi"
828;0,0140108911010602;45;Intimate;Intimates;59;2;5;1;These undergarments are comfortable, streamlined, and well made. this bra holds up well without wires. i am a 34b and wear a small. it is a bit tight at first, but form fits after one wear. . after trying one bra and i ordered 4 more. then i researched the brand and bought camis to match. i love how all the colors and styles are interchangeable.
18925;0,0140441621322658;66;Bottoms;Shorts;417;1;5;1;"Have been on the hunt for decent shorts all summer. as an elder, i need some length, comfort, style and attractive fit. these meet all the criteria. i'm 5'3"" and got the 31's. they're lightweight but substantial enough to keep their shape. love the faux cuff too. they stretched a bit but still have a perfect fit. got the grey on sale and getting 2 more in other colors left in my size at full price. so good!"
18854;0,0140843461154766;48;Dresses;Dresses;1094;2;4;1;I love the color and the style, however it doesn't look as well as the model as i don't have a small waist like the model does. still overall, i love this dress and it is well made and comfortable
17662;0,0140961669738457;27;Tops;Sweaters;927;6;4;1;This sweater is really pretty (and soft!) in real life, but if you purchase the coral color, be ready for a little bit of a surprise when you open the package. while it looks more orange and subdued online, it's more like a hot pink coral in real life. definitely more pink than orange and far more vibrant than pictured. still pretty, but not necessarily my taste so still deciding if it will go back or not. the cut and fit of the sweater is wonderful, though. it's so soft and airy, but definitely
12690;0,014107132439461;54;Tops;Fine gauge;899;0;4;1;This is a very cute, casual sweater. i originally ordered a size medium but i had to send it back because it was way too large all over. i recently received the size small and i'm going to keep it. it is still a roomy fit but the overall design of the sweater is a relaxed fit. the color combination and texture of this sweater is lovely.
15761;0,0141545394227978;34;Dresses;Dresses;1075;2;3;0;The details on this dress are lovely. the embroidery is wonderful. but the fit on this dress is just not for me. it is very baggy and shapeless. it doesn't have any curves at all so it just drapes down me and looks formless. really unflattering. sad but it's going back.
